School Name – City,School Name,District,ESD,Sister school,Street Address,City,State,Zip,County,Phone,Lowest grade,Highest grade,Grade level,Governance,Type of school,State ID,Contact person role,Contact person name,Email,ODS notes,"If your school is not listed above, please enter its name below.",Did your school participate in Outdoor School in the 2016-2017 school year?,How many students from your school participated in Outdoor School in the 2016-2017 school year?,Which grades participated in Outdoor School in the 2016-2017 school year?,Which camp or camps did students at your school attend for Outdoor School in the 2016-2017 school year?,How many DAYS does your Outdoor School program last?,How many NIGHTS does your Outdoor School program last?,Which provider(s) do you contract with to plan your Outdoor School experience?,Does your Outdoor School program have an academic component?,Who develops the curriculum that you use for Outdoor School?,"In addition to classroom teachers, who do you use to staff your Outdoor School program?",To what degree are you able to make accommodations to ensure that the Outdoor School program is accessible for all students?,How many years has your school sent students to Outdoor School?,Has your school sent students to Outdoor School prior to the 2016-2017 school year?,When was the last time that students participated in Outdoor School?,Which camp or camps did students attend the last time your school participated in Outdoor School?,Why did your school stop sending students to Outdoor School?,Is your school interested in starting an Outdoor School program in the future?,When do you think your might be ready to start an Outdoor School program?,"How familiar, if at all, are you with Measure 99, which passed in November 2016 and dedicates funding to schools to send students to Outdoor School?","How familiar, if at all, are you with the role that Oregon State Extension plays in funding Outdoor School programs?",Do you have any other comments about Outdoor School?,Notes,2015-16 Total Enrollment,2016-17 Total Enrollment,2016-17  Male,"2016-17 
% Male",2016-17 Female,"2016-17
% Female",2016-17 American Indian/ Alaska Native,"2016-17
% American Indian/ Alaska Native ",2016-17 Asian,"2016-17
% Asian ",2016-17 Native Hawaiian/ Pacific Islander,"2016-17 
% Native Hawaiian/ Pacific Islander ",2016-17 Black/African American,"2016-17
% Black/ African American ",2016-17 Hispanic/ Latino,"2016-17
% Hispanic/ Latino",2016-17 White,"2016-17 
% White ",2016-17 Multiracial,"2016-17
% Multiracial ",2016-17 Kindergarten,2016-17 Grade One,2016-17 Grade Two,2016-17 Grade Three,2016-17 Grade Four,2016-17 Grade Five,2016-17 Grade Six,2016-17 Grade Seven,2016-17 Grade Eight,2016-17 Grade Nine,2016-17 Grade Ten,2016-17 Grade Eleven,2016-17 Grade Twelve,Done,Sister school (opposite direction)
Timber Ridge School – Albany,Timber Ridge School,Greater Albany Public SD 8J,Linn Benton Lincoln ESD,,373 Timber Ridge St NE,Albany,OR,97322,Linn,541-704-1095,3,8,Other,Public,Regular School,4744,Principal,Jodi Dedera,jodi.dedera@albany.k12.or.us,,,No,,,,,,,,,,,,,,,,,,VERY FAMILIAR with Measure 99,A BIT FAMILIAR with the role OSU Extension plays,,,702,729,382,52.4%,347,47.6%,3,0.4%,4,0.5%,1,0.1%,1,0.1%,79,10.8%,591,81.1%,50,6.9%,,,,123,110,120,129,125,122,,,,,true,
Tobias Elementary School – Aloha,Tobias Elementary School,Hillsboro SD 1J,Northwest Regional ESD,,1065 SW 206th Ave,Aloha,OR,97006,Washington,503-844-1310,K,6,Elementary,Public,Regular School,1302,Principal,Andrew Bekken,bekkena@hsd.k12.or.us,,,Yes,69,6th grade,Camp Magruder,3,2,Northwest Regional ESD,"Yes, and it CONNECTS TO STATE STANDARDS",,,,,,,,,,,,,,,443,436,239,54.8%,197,45.2%,1,0.2%,60,13.8%,5,1.1%,18,4.1%,103,23.6%,208,47.7%,41,9.4%,68,45,77,67,45,66,68,,,,,,,true,
Toledo Elementary School – Toledo,Toledo Elementary School,Lincoln County SD,Linn Benton Lincoln ESD,,600 SE Sturdevant Rd,Toledo,OR,97391,Lincoln,541-336-5121,K,6,Elementary,Public,Regular School,611,Principal,Paul Tucker,paul.tucker@lincoln.k12.or.us,,,Yes,,6th grade,Drift Creek Camp,4,3,,,,,,,,,,,,,,,,,436,434,209,48.2%,225,51.8%,48,11.1%,,0%,1,0.2%,3,0.7%,28,6.5%,306,70.5%,48,11.1%,65,59,60,70,72,55,53,,,,,,,false,
Tom McCall Elementary School – Redmond,Tom McCall Elementary School,Redmond SD 2J,High Desert ESD,,1200 NW Upas Ave,Redmond,OR,97756,Deschutes,541-526-6400,1,5,Elementary,Public,Regular School,4429,Principal,Drew Frank,drew.frank@redmondschools.org,,,Yes,130,5th grade,Camp Tamarack,3,2,Camp Tamarack,"Yes, and it CONNECTS TO STATE STANDARDS",We use curriculum developed by an outside provider,"Program provider staff, High school mentors, ILS staff, nurses if required",We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,4,,,,,,,SOMEWHAT FAMILIAR with Measure 99,A BIT FAMILIAR with the role OSU Extension plays,,,551,500,261,52.2%,239,47.8%,4,0.8%,7,1.4%,4,0.8%,3,0.6%,51,10.2%,410,82%,21,4.2%,,86,91,110,93,120,,,,,,,,true,
Tom McCall Upper Elementary School – Forest Grove,Tom McCall Upper Elementary School,Forest Grove SD 15,Northwest Regional ESD,,1341 Pacific Ave,Forest Grove,OR,97116,Washington,503-359-2506,5,6,Elementary,Public,Regular School,1127,Principal,Chandra Cooper,ccooper@fgsd.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,804,779,409,52.5%,370,47.5%,4,0.5%,9,1.2%,,0%,5,0.6%,414,53.1%,326,41.8%,21,2.7%,,,,,,395,384,,,,,,,false,
Touchstone School – Lake Oswego,Touchstone School,,,,2 Touchstone,Lake Oswego,OR,97035,Clackamas,503-635-4486,K,6,Elementary,Private,Regular School,,,,ginger.schaffer@nlcinc.com,,,Yes,16,,Trickle Creek,4,3,Northwest Regional ESD,"Yes, and it CONNECTS TO STATE STANDARDS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,
Treasure Valley Christian School – Ontario,Treasure Valley Christian School,,,,386 N Verde Dr,Ontario,OR,97914,Malheur,541-889-4662,PK,12,Other,Private,Regular School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
Tri City Elementary School – Myrtle Creek,Tri City Elementary School,South Umpqua SD 19,Douglas ESD,,546 SW Chadwick Ln,Myrtle Creek,OR,97457,Douglas,541-863-6887,PK,5,Elementary,Public,Regular School,292,Principal,Lori Dilbeck,lori.dilbeck@susd.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,240,252,110,43.7%,142,56.3%,13,5.2%,1,0.4%,2,0.8%,,0%,16,6.3%,209,82.9%,11,4.4%,48,38,39,44,46,37,,,,,,,,false,
Triangle Lake Charter School – Blachly,Triangle Lake Charter School,Blachly SD 90,Lane ESD,,20264 Blachly Grange Rd,Blachly,OR,97412,Lane,541-925-3262,K,12,Other,Public,Charter School,3401,Principal,James Brookins,jbrookins@blachly.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,254,251,126,50.2%,125,49.8%,5,2%,4,1.6%,,0%,1,0.4%,20,8%,211,84.1%,10,4%,18,15,20,19,21,20,20,23,19,18,22,20,16,false,
Trillium Creek Primary School – West Linn,Trillium Creek Primary School,West Linn-Wilsonville SD 3J,Clackamas ESD,,1025 Rosemont Rd,West Linn,OR,97068,Clackamas,503-673-7950,PK,5,Elementary,Public,Regular School,5057,Principal,Charlotte Morris,morrisc@wlwv.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,581,614,312,50.8%,302,49.2%,,0%,23,3.7%,1,0.2%,7,1.1%,42,6.8%,475,77.4%,66,10.7%,94,102,118,98,116,86,,,,,,,,false,
Trillium School – Portland,Trillium School,Portland SD 1J,Multnomah ESD,,5420 N Interstate Ave,Portland,OR,97217,Multnomah,503-285-3833,K,12,Other,Public,Charter School,3616,Director,Kieran Connolly,kieran@trilliumcharterschool.org,,,,,,,,,,,,,,,,,,,,,,,,,356,359,196,54.6%,163,45.4%,4,1.1%,5,1.4%,1,0.3%,13,3.6%,30,8.4%,266,74.1%,40,11.1%,30,32,25,31,33,32,27,27,34,29,21,23,15,false,
Trinity Lutheran School – Bend,Trinity Lutheran School,,,,5520 NE Killingsworth St,Bend,OR,97218,Multnomah,541-382-1850,PK,8,Other,Private,Regular School,,,,info@saints.org,,,Yes,11,6th grade,Camp Howard,6,5,Multnomah County ESD,"Yes, and it CONNECTS TO STATE STANDARDS",PPS,Program provider staff,We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,50,,,,,,,A BIT FAMILIAR with Measure 99,A BIT FAMILIAR with the role OSU Extension plays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,
Trinity Lutheran School – Portland,Trinity Lutheran School,,,,2550 NE Butler Market Rd,Portland,OR,97701,Deschutes,503-288-6403,PK,12,Other,Private,Regular School,,,,office@trinityportland.org,,,Yes,69,"6th grade, 7th grade, 8th grade",Washington Family Ranch,3,2,Young Life,No,School staff develop the curriculum,Parent volunteers,We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,5,,,,,,,A BIT FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,
Trost Elementary School – Canby,Trost Elementary School,Canby SD 86,Clackamas ESD,,800 South Redwood Street,Canby,OR,97013,Clackamas,503-263-7130,K,6,Elementary,Public,Regular School,1307,Principal,Angie Navarro,navarroa@canby.k12.or.us,,,Yes,55,,Camp Magruder,3,2,Northwest Regional ESD,"Yes, and it CONNECTS TO STATE STANDARDS",,,,,,,,,,,,,,,420,446,225,50.4%,221,49.6%,,0%,2,0.4%,,0%,1,0.2%,311,69.7%,129,28.9%,3,0.7%,75,71,52,67,69,56,56,,,,,,,true,
Troutdale Elementary School – Troutdale,Troutdale Elementary School,Reynolds SD 7,Multnomah ESD,,648 SE Harlow Avenue,Troutdale,OR,97060,Multnomah,503-665-4182,K,5,Elementary,Public,Regular School,951,Principal,Ed Krankowski,EKrankowski@rsd7.net,,,,,,,,,,,,,,,,,,,,,,,,,423,425,237,55.8%,188,44.2%,2,0.5%,20,4.7%,4,0.9%,7,1.6%,88,20.7%,271,63.8%,33,7.8%,67,82,76,76,57,67,,,,,,,,false,
Tualatin Elementary School – Tualatin,Tualatin Elementary School,Tigard-Tualatin SD 23J,Northwest Regional ESD,Hazelbrook Middle School – Tualatin,20405 SW 95th Ave,Tualatin,OR,97062,Washington,503-431-4800,K,5,Elementary,Public,Regular School,1143,Principal,Jamie Kingery,jkingery@ttsd.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,554,556,304,54.7%,252,45.3%,,0%,12,2.2%,9,1.6%,9,1.6%,195,35.1%,310,55.8%,21,3.8%,88,87,85,86,97,113,,,,,,,,false,
Tualatin Valley Jr Academy – Hillsboro,Tualatin Valley Jr Academy,,,,21975 W Baseline Rd,Hillsboro,OR,97123,Washington,503-649-5518,PK,10,Other,Private,Regular School,,,,tvja@tvja.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
Tucker-Maxon Oral School – Portland,Tucker-Maxon Oral School,Oregon City SD 62,Multnomah ESD,,2860 SE Holgate Blvd,Portland,OR,97202,Multnomah,503-235-6551,PK,5,Elementary,Private,Approved Special Education Private School,1684,,,info@tuckermaxon.org,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,100%,,0%,,0%,,0%,,0%,,0%,1,100%,,0%,,0%,,,,,,1,,,,,,,,false,
Tumalo Community School – Bend,Tumalo Community School,Redmond SD 2J,High Desert ESD,,19835 2nd St,Bend,OR,97701,Deschutes,541-382-2853,K,8,Other,Public,Regular School,261,Principal,Justin Nicklous,justin.nicklous@redmondschools.org,"They submitted survey saying different #s etc, but that includes 4th and 5th grade",,Yes,60,5th grade,Camp Tamarack,3,2,Camp Tamarack,"Yes, and it CONNECTS TO STATE STANDARDS",We use curriculum developed by an outside provider,Program provider staff,We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,8,,,,,,,A BIT FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,Not at this time.,,368,382,189,49.5%,193,50.5%,,0%,2,0.5%,,0%,5,1.3%,26,6.8%,339,88.7%,10,2.6%,60,41,53,43,57,51,31,25,21,,,,,true,
Turner Elementary School – Turner,Turner Elementary School,Cascade SD 5,Willamette ESD,,7800 School Ave,Turner,OR,97392,Marion,503-749-8060,K,5,Elementary,Public,Regular School,790,Principal,Dan Petersen,dpetersen@cascade.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,271,299,149,49.8%,150,50.2%,4,1.3%,5,1.7%,3,1%,,0%,38,12.7%,244,81.6%,5,1.7%,39,57,50,42,58,53,,,,,,,,false,
Twality Middle School – Tigard,Twality Middle School,Tigard-Tualatin SD 23J,Northwest Regional ESD,,14650 SW 97th Ave,Tigard,OR,97224,Washington,503-431-5200,6,8,Middle,Public,Regular School,1145,Principal,Carol Kinch,ckinch@ttsd.k12.or.us,,,Yes,330,6th grade,Trickle Creek,3,2,Northwest Regional ESD,"Yes, and it CONNECTS TO STATE STANDARDS",We use curriculum developed by an outside provider,"Program provider staff, High school mentors",We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,20,,,,,,,A BIT FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,,,1061,1026,495,48.2%,531,51.8%,2,0.2%,90,8.8%,19,1.9%,19,1.9%,237,23.1%,587,57.2%,72,7%,,,,,,,351,343,332,,,,,true,
Twin Oaks Elementary School – Eugene,Twin Oaks Elementary School,Eugene SD 4J,Lane ESD,,85916 Bailey Hill Rd,Eugene,OR,97405,Lane,541-790-3417,K,5,Elementary,Public,Regular School,530,Principal,Lizette Rodgers,rodgers_l@4j.lane.edu,,,,,,,,,,,,,,,,,,,,,,,,,244,238,117,49.2%,121,50.8%,1,0.4%,12,5%,1,0.4%,1,0.4%,29,12.2%,173,72.7%,21,8.8%,28,43,37,43,45,42,,,,,,,,false,
Two Rivers Dos Rios Elementary School – Springfield,Two Rivers Dos Rios Elementary School,Springfield SD 19,,,1084 G St,Springfield,OR,97477,Lane,,K,5,Elementary,Public,Regular School,5059,Principal,,charlie.jett@springfield.k12.or.us,,,,,,,,,,,,,,,,,,,,,x,,,,442,481,253,52.6%,228,47.4%,7,1.5%,3,0.6%,2,0.4%,4,0.8%,121,25.2%,309,64.2%,35,7.3%,78,82,85,91,77,68,,,,,,,,false,
Ukiah School – Ukiah,Ukiah School,Ukiah SD 80R,InterMountain ESD,,201 Hill St,Ukiah,OR,97880,Umatilla,541-427-3731,K,12,Other,Public,Regular School,3432,Principal,Dan Korber,dan.korber@ukiah.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,31,25,7,28%,18,72%,,0%,3,12%,,0%,,0%,4,16%,18,72%,,0%,1,,1,,4,1,,3,1,4,4,4,2,false,
Umpqua Valley Christian School – Roseburg,Umpqua Valley Christian School,,,,359 Roberts Creek Rd,Roseburg,OR,97471,Douglas,541-679-4964,PK,12,Other,Private,Regular School,,,,,,,No,,,,,,,,,,,,No,,,,A BIT interested,2017/2018 school year,NOT AT ALL FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,"We are a Christian school and therefore teach science for a Christian perspective.  That may or may not be compatible with the State of Oregon's focus in outdoor education.  In a previous school, in California, we utilized a Christian outdoor education program.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
Union Elementary School – Lakeview,Union Elementary School,Lake County SD 7,Lake ESD,,92398 Water Users Ln,Lakeview,OR,97630,Lake,541-947-2553,K,6,Elementary,Public,Regular School,489,Principal,Susan Warner,warners@lakeview.k12.or.us,,,No,,,,,,,,,,,,Yes,2012-2013 school year,We designed an outdoor school with BLM and Fish and Wildlife,We only provide every other year,SOMEWHAT interested,2017/2018 school year,SOMEWHAT FAMILIAR with Measure 99,SOMEWHAT FAMILIAR with the role OSU Extension plays,,,49,47,18,38.3%,29,61.7%,1,2.1%,,0%,,0%,,0%,5,10.6%,40,85.1%,1,2.1%,12,4,6,12,5,7,1,,,,,,,false,
Union Elementary School – Union,Union Elementary School,Union SD 5,InterMountain ESD,,166 W Dearborn St,Union,OR,97883,Union,541-562-5278,K,6,Elementary,Public,Regular School,1074,Principal,Bill Johnson,bill.johnson@union.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,156,170,100,58.8%,70,41.2%,2,1.2%,,0%,,0%,1,0.6%,2,1.2%,160,94.1%,5,2.9%,29,21,22,21,25,28,24,,,,,,,false,
Vale Elementary School – Vale,Vale Elementary School,Vale SD 84,Malheur ESD Region 14,,403  E  St W,Vale,OR,97918,Malheur,541-473-3291,K,6,Elementary,Public,Regular School,701,Principal,Alisha McBride,alisha.mcbride@vale.k12.or.us,,,No,,,,,,,,,,,,Yes,2015-2016 school year,Catherine Creek Campground,Teachers were not interested in participating any longer.,SOMEWHAT interested,2018/2019 school year,SOMEWHAT FAMILIAR with Measure 99,SOMEWHAT FAMILIAR with the role OSU Extension plays,,,430,435,224,51.5%,211,48.5%,1,0.2%,4,0.9%,2,0.5%,1,0.2%,100,23%,317,72.9%,10,2.3%,61,54,63,76,67,57,57,,,,,,,false,
Valley Catholic Elementary School – Beaverton,Valley Catholic Elementary School,,,,4440 SW 148th Ave,Beaverton,OR,97007,Washington,503-626-7781,K,12,Elementary,Private,Regular School,,,Jennifer Gfroerer,jgfroerer@valleycatholic.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
Valley Inquiry Charter School – Salem,Valley Inquiry Charter School,Salem-Keizer SD 24J,Willamette ESD,,5774 Hazel Green Rd NE,Salem,OR,97305,Marion,503-399-3150,K,5,Elementary,Public,Charter,4390,Principal,Manuel Palacio,palacio_manuel@salkeiz.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,165,156,65,41.7%,91,58.3%,,0%,3,1.9%,1,0.6%,,0%,24,15.4%,112,71.8%,16,10.3%,28,28,27,21,26,26,,,,,,,,false,
Valor Middle School – Woodburn,Valor Middle School,Woodburn SD 103,Willamette ESD,,450 Parr Rd,Woodburn,OR,97071,Marion,503-981-2750,6,8,Middle,Public,Regular School,1360,Principal,Danny Nanez,dnanez@woodburnsd.org,,,No,,,,,,,,,,,,I'm not sure,,,,VERY interested,2018/2019 school year,SOMEWHAT FAMILIAR with Measure 99,A BIT FAMILIAR with the role OSU Extension plays,This is really needed in Woodburn to get our students out in nature and learn life long skills.,,629,637,298,46.8%,339,53.2%,,0%,2,0.3%,,0%,1,0.2%,503,79%,126,19.8%,5,0.8%,,,,,,,228,208,201,,,,,false,
Veneta Elementary School – Veneta,Veneta Elementary School,Fern Ridge SD 28J,Lane ESD,,88131 Territorial Rd,Veneta,OR,97487,Lane,541-935-8225,K,5,Elementary,Public,Regular School,566,Principal,Olivia Johnson,ojohnson@fernridge.k12.or.us,,,Yes,50,5th grade,Kiwanis Sky Camp,4,3,Self,"Yes, and it CONNECTS TO STATE STANDARDS","School staff develop the curriculum, High School Counselors","High school mentors, Teachers and staff who are not 5th grade teachers",We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,25,,,,,,,A BIT FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,,,341,340,174,51.2%,166,48.8%,8,2.4%,3,0.9%,,0%,1,0.3%,27,7.9%,287,84.4%,14,4.1%,54,50,48,72,61,55,,,,,,,,false,
Ventura Park Elementary School – Portland,Ventura Park Elementary School,David Douglas SD 40,Multnomah ESD,,145 SE 117th Ave,Portland,OR,97216,Multnomah,503-256-6508,K,5,Elementary,Public,Regular School,978,Principal,Jakob Curtis,jakob_curtis@ddouglas.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,480,456,223,48.9%,233,51.1%,,0%,37,8.1%,14,3.1%,39,8.6%,145,31.8%,186,40.8%,35,7.7%,67,74,77,86,83,68,1,,,,,,,false,
Vern Patrick Elementary School – Redmond,Vern Patrick Elementary School,Redmond SD 2J,High Desert ESD,,3001 SW Obsidian,Redmond,OR,97756,Deschutes,541-923-4830,1,5,Elementary,Public,Regular School,1325,Principal,Jennifer Hesse,jennifer.hesse@redmondschools.org,,,Yes,68,5th grade,Camp Tamarack,3,2,"Camp Tamarack, Children's Forest of Central Oregon","Yes, and it CONNECTS TO STATE STANDARDS",Camp Tamarack in communication with Teachers/schools,"Program provider staff, High school mentors",We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,3,,,,,,,SOMEWHAT FAMILIAR with Measure 99,A BIT FAMILIAR with the role OSU Extension plays,"With the state law not allowing schools to request that parents pay for field trips, I am concerned that we will not be able to attend outdoor school in the future. We have always asked families to contribute a portion of the cost so we can go. We do not have funds to do it otherwise and we were informed that measure 99 funds will not be available until after 2018",,433,401,191,47.6%,210,52.4%,3,0.7%,2,0.5%,1,0.2%,1,0.2%,112,27.9%,270,67.3%,12,3%,,70,87,71,92,81,,,,,,,,true,
Verne A Duncan Elementary School – Happy Valley,Verne A Duncan Elementary School,North Clackamas SD 12,Clackamas ESD,,14898 SE Parklane Dr,Happy Valley,OR,97015,Clackamas,503-353-3270,K,5,Elementary,Public,Regular School,4714,Principal,Mason Branstetter,branstetterm@nclack.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,567,575,285,49.6%,290,50.4%,,0%,15,2.6%,1,0.2%,6,1%,103,17.9%,420,73%,30,5.2%,88,92,89,107,101,98,,,,,,,,false,
Vernon K-8 School – Portland,Vernon K-8 School,Portland SD 1J,Multnomah ESD,,2044 NE Killingsworth St,Portland,OR,97211,Multnomah,503-916-6415,PK,8,Other,Public,Regular School,895,Principal,,bkeefer@pps.net,,,Yes,43,6th grade,"Camp Angelos, Camp Howard",6,5,Multnomah County ESD,"Yes, and it CONNECTS TO STATE STANDARDS",,,,,,,,,,,,,,,407,470,236,50.2%,234,49.8%,1,0.2%,11,2.3%,2,0.4%,106,22.6%,62,13.2%,237,50.4%,51,10.9%,74,73,52,61,62,44,44,35,25,,,,,true,
Vernonia Elementary School – Vernonia,Vernonia Elementary School,Vernonia SD 47J,Northwest Regional ESD,,1000 Missouri Ave,Vernonia,OR,97064,Columbia,503-429-1333,K,5,Elementary,Public,Regular School,177,Principal,Aaron Miller,amiller@vernonia.k12.or.us,Note 4,,,,,,,,,,,,,,,,,,,,,,,,211,214,107,50%,107,50%,1,0.5%,1,0.5%,,0%,2,0.9%,17,7.9%,189,88.3%,4,1.9%,32,26,47,39,39,31,,,,,,,,false,
Vernonia Middle School – Vernonia,Vernonia Middle School,Vernonia SD 47J,Northwest Regional ESD,,1000 Missouri Ave,Vernonia,OR,97064,Columbia,503-429-1333,6,8,Middle,Public,Regular School,4396,Principal,Nate Underwood,nunderwood@vernonia.k12.or.us,,,Yes,40,6th grade,Cedar Ridge,4,3,Self,"Yes, and it CONNECTS TO STATE STANDARDS",School staff develop the curriculum,"State agency or community resource experts (e.g. watershed council personnel or Fish & Wildlife staff), Parent volunteers, High school mentors, community volunteers, retired staff",We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,30,,,,,,,SOMEWHAT FAMILIAR with Measure 99,A BIT FAMILIAR with the role OSU Extension plays,,,129,117,55,47%,62,53%,1,0.9%,1,0.9%,,0%,,0%,8,6.8%,103,88%,4,3.4%,,,,,,,38,42,37,,,,,true,
Vestal Elementary School – Portland,Vestal Elementary School,Portland SD 1J,Multnomah ESD,,161 NE 82nd Ave,Portland,OR,97220,Multnomah,503-916-6437,K,8,Elementary,Public,Regular School,896,Principal,Emily Glasgow,eglasgow@pps.net,,,,,,,,,,,,,,,,,,,,,,,,,412,381,202,53%,179,47%,1,0.3%,47,12.3%,2,0.5%,66,17.3%,61,16%,168,44.1%,36,9.4%,58,43,49,50,40,38,28,36,39,,,,,false,
Victor Point Elementary School – Silverton,Victor Point Elementary School,Silver Falls SD 4J,Willamette ESD,,1175 Victor Point Rd SE,Silverton,OR,97381,Marion,503-873-4987,K,8,Elementary,Public,Regular School,777,Principal,Jamie McCarty,mccarty_jamie@silverfalls.k12.or.us,,,Yes,30,,Camp Westwind,4,3,Northwest Regional ESD,"Yes, and it CONNECTS TO STATE STANDARDS",,,,,,,,,,,,,,,222,219,117,53.4%,102,46.6%,,0%,,0%,,0%,,0%,20,9.1%,198,90.4%,1,0.5%,21,22,24,19,27,26,30,27,23,,,,,true,
Victory Academy – Sherwood,Victory Academy,,,,PO Box 428,Sherwood,OR,97062,Clackamas,,PK,12,Other,Private,Regular School,,,,tricia@victoryacademy.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
Victory Academy – Tualatin,Victory Academy,,,,12155 SW Tooze Rd,Tualatin,OR,97140,Clackamas,503-427-2063,PK,12,Other,Private,Approved Special Education Private School,,,,tricia@victoryacademy.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
View Acres Elementary School – Milwaukie,View Acres Elementary School,North Clackamas SD 12,Clackamas ESD,,4828 SE View Acres Rd,Milwaukie,OR,97267,Clackamas,503-353-5640,K,5,Elementary,Public,Regular School,79,Principal,Mike Potter,potterm@nclack.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,450,433,209,48.3%,224,51.7%,3,0.7%,14,3.2%,3,0.7%,2,0.5%,47,10.9%,325,75.1%,39,9%,72,59,58,90,80,74,,,,,,,,false,
Village School – Eugene,Village School,Eugene SD 4J,Lane ESD,,2855 Lincoln St.,Eugene,OR,97405,Lane,541-345-7285,K,8,Other,Public,Charter,3229,Principal,Andy Peara/Kent Ratekin,village@4j.lane.edu,,,No,,,,,,,,,,,,No,,,,"NOT AT ALL interested, SOMEWHAT interested",2018/2019 school year,SOMEWHAT FAMILIAR with Measure 99,SOMEWHAT FAMILIAR with the role OSU Extension plays,We have been doing a 2 day program at Opal Creek with our 5th Graders for at least 7 years. A 5 day program may be challenging to fit within our curriculum.,,214,213,101,47.4%,112,52.6%,2,0.9%,2,0.9%,,0%,,0%,13,6.1%,182,85.4%,14,6.6%,18,22,22,24,26,26,26,26,23,,,,,false,
Vineyard Christian School – Grants Pass,Vineyard Christian School,,,,275 Potts Way,Grants Pass,OR,97526,Josephine,541-479-9649,PK,8,Other,Private,Regular School,,,,vineyardcsgp@gmail.com,,,No,,,,,,,,,,,,No,,,,SOMEWHAT interested,Not sure at this point,A BIT FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
Visitation Catholic School – Forest Grove,Visitation Catholic School,,,,4189 NW Visitation Rd,Forest Grove,OR,97116,Washington,,PK,8,Other,Private,Regular School,,,,secretary@vcsknights.org,,,Yes,18,,Camp Magruder,4,3,Northwest Regional ESD,"Yes, and it CONNECTS TO STATE STANDARDS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,
Vose Elementary School – Beaverton,Vose Elementary School,Beaverton SD 48J,Northwest Regional ESD,,11350 SW Denney Rd,Beaverton,OR,97008,Washington,503-356-2430,K,5,Elementary,Public,Regular School,1177,Principal,Veronica Galvan,veronica_galvan@beaverton.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,684,614,301,49%,313,51%,4,0.7%,3,0.5%,1,0.2%,11,1.8%,449,73.1%,131,21.3%,15,2.4%,99,100,101,105,101,108,,,,,,,,false,
